name,area,popnsize,pcturban,lang,literacy,lifemen,lifewom,pcgnp
cuba,45.4,10.6,71,Spanish,97,72,75,1494
domin.repub,18.8,7.3,55,Spanish,69,63,67,790
haiti,10.7,6.2,29,French,35,51,54,330
jamaica,4.2,2.5,48,English,92,69,74,940
cayman.islands,0.1,23,NA,English,NA,NA,NA,NA
trinidad.tobago,2,1.3,65,English,96,68,71,6020
belize,8.9,0.2,.,English,92,66,71,1190
costa.rica,19.6,2.9,50,Spanish,93,70,74,1440
elsalvador,8.3,5.5,39,Spanish,68,65,69,820
guatemala,42,9.4,33,Spanish,46,58,62,1250
honduras,43.3,5.1,40,Spanish,56,60,64,720
mexico,761.6,88.1,70,Spanish,88,66,70,2080
nicaragua,49.2,3.6,57,Spanish,87,60,64,790
panama,29.2,2.4,53,Spanish,87,69,73,2100
argentina,1065.2,32.6,80,Spanish,92,67,73,2331
bolivia,424.2,6.9,80,Spanish,65,29,53,470
brazil,3286.5,154,76,Portug.,76,62,68,840
chile,292.3,12.9,83,Spanish,94,65,71,1430
colombia,439.7,31.8,65,Spanish,86,63,67,1320
ecuador,104.5,20.5,52,Spanish,77,60,64,1160
guyana,83,0.8,32,English,96,68,74,500
paraguay,157,4.5,43,Spanish,81,64,69,860
peru,496.2,21.8,70,Spanish,79,59,63,1010
uruguay,68,3,86,Spanish,94,67,74,1650
venezuela,352.1,19.2,83,Spanish,56,65,71,3080
cyprus,3.6,0.7,53,Greek,99,71,76,4360
egypt,386.7,54.8,45,Arabic,44,58,61,760
iran,635.4,51,50,Farsi,48,58,59,1667
lebanon,4,2.9,81,Arabic,75,65,69,1150
syria,71.5,12.2,49,Arabic,60,66,69,1570
turkey,301.4,55.4,55,Turkish,70,57,57,1160
botswana,231.8,1.2,21,English,41,55,60,840
cameroon,185.6,10.9,31,FR/Eng,65,49,52,910
eq.guinea,10.8,0.4,NA,Spanish,20,44,46,320
ethiopia,471.8,48,11,Amharic,68,41,45,120
ghana,92.1,13.8,31,English,30,50,54,390
kenya,225,23.7,16,Swahili,47,56,61,330
lesotho,11.7,1.7,NA,ses/Eng,58,54,56,470
madagascar,226.7,11.1,22,Malag.,53,49,53,240
malawi,45.7,8.1,12,Eng/Chi,25,49,53,190
mauritius,790,1,41,English,80,64,71,1200
mozambique,309.5,15.3,NA,Portug.,27,49,53,310
nigeria,356.7,115.2,23,English,34,51,54,800
rwanda,10.2,7.3,5,Fr/Kin.,50,49,52,290
south.africa,472.4,35.6,55,Afr/Eng,50,59,59,2010
sudan,966.8,25,35,Ara/Eng,20,50,52,320
swaziland,6.7,0.8,26,Eng/Swa,65,49,52,920
tanzania,364.9,24.7,18,Saw/Eng,89,54,57,290
zaire,905.6,34,44,French,55,49,53,170
bangladesh,55.6,112.8,20,Bengali,30,50,49,160
india,1269.4,835,26,Hin/Eng,36,57,55,270
nepal,56.1,18.8,8,Nepali,21,49,47,160
pakistan,310.4,10.4,30,Urd/Eng,26,55,54,380
sri.lanka,25.3,17.5,22,Sinhal.,86,66,69,400
australia,2966.2,16.1,85,Eng/Arb,99,72,79,14458
china,3705.4,1130,28,Mandar.,75,68,71,310
fiji,7.1,0.8,39,English,80,69,72,1710
guam,0.2,0.1,NA,English,99,71,78,6257
hong.kong,0.4,5.7,NA,English,87,74,79,6230
japan,145.9,123.2,77,Japan.,99,75,81,11600
s.korea,38,45.2,65,Korean,92,64,69,2180
new.zealand,103.7,3.4,84,English,NA,72,78,7100
papua.new.gui,176.3,3.6,14,English,32,57,56,680
phillippines,115.8,61.9,41,Fil/Eng,88,63,67,580
taiwan,13.9,20.3,72,Mandar.,90,70,76,5520
vanuatu,5.7,0.2,.,Eng/Fr,60,56,54,880
indonesia,735.3,187.7,25,Malay,74,54,57,530
malaysia,127.3,16.9,38,Malay,80,67,71,2000
myanmar,261.8,39.9,NA,Burmese,78,52,56,190
singapore,0.2,2.7,NA,E/M/M/T,84,70,75,7420
thailand,198.5,55,20,Thai,89,62,67,800
ussr?,8649.5,287,66,Russian,99,64,73,3000
uk,94.2,56.6,93,English,99,70,76,7216
usa,3619,247.5,79,English,99,72,78,13451
sweden,173.7,8.4,85,Swedish,99,73,79,11989
switzerland,15.9,6.5,60,G/F/I/R,99,70,76,14408
israel,7.8,4.5,89,Hebrew,88,72,76,5995
kuwait,6.9,2,NA,Arabic,71,68,73,11431
iraq,167.9,17.6,70,Arabic,70,56,59,1740
